A | סופרמרקט | department | depth 0 | path A | pathHe סופרמרקט | url https://www.shufersal.co.il/online/he/A
A160309 | שניצלונים מוכנים | depth9 | parent A0717 מוצרים מוכנים לאכילה | depth 9 | path A>A24>A16>A07>A2412>A2411>A2409>A1603>A0717>A160309 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין לי זמן לבשל > כל ילדי השכונה אצלנו בבית > Finger Food > מוצרי בשר, עוף ודגים קפואים > מוצרים מוכנים לאכילה > שניצלונים מוכנים | url https://www.shufersal.co.il/online/he/c/A160309
A071704 | שניצלונים | leaf | parent A160309 שניצלונים מוכנים | depth 10 | path A>A24>A16>A07>A2412>A2411>A2409>A1603>A0717>A160309>A071704 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין לי זמן לבשל > כל ילדי השכונה אצלנו בבית > Finger Food > מוצרי בשר, עוף ודגים קפואים > מוצרים מוכנים לאכילה > שניצלונים מוכנים > שניצלונים | url https://www.shufersal.co.il/online/he/c/A071704
A1611 | תחליפי בשר טבעוניים | depth5 | parent A2412 אין לי זמן לבשל | depth 5 | path A>A24>A16>A07>A2412>A1611 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין לי זמן לבשל > תחליפי בשר טבעוניים | url https://www.shufersal.co.il/online/he/c/A1611
A0707 | תחליפי בשר | depth6 | parent A1611 תחליפי בשר טבעוניים | depth 6 | path A>A24>A16>A07>A2412>A1611>A0707 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין לי זמן לבשל > תחליפי בשר טבעוניים > תחליפי בשר | url https://www.shufersal.co.il/online/he/c/A0707
A161110 | שניצל טבעוני, צמחוני | depth7 | parent A0707 תחליפי בשר | depth 7 | path A>A24>A16>A07>A2412>A1611>A0707>A161110 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין לי זמן לבשל > תחליפי בשר טבעוניים > תחליפי בשר > שניצל טבעוני, צמחוני | url https://www.shufersal.co.il/online/he/c/A161110
A070705 | שניצל מן הצומח | leaf | parent A161110 שניצל טבעוני, צמחוני | depth 8 | path A>A24>A16>A07>A2412>A1611>A0707>A161110>A070705 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין לי זמן לבשל > תחליפי בשר טבעוניים > תחליפי בשר > שניצל טבעוני, צמחוני > שניצל מן הצומח | url https://www.shufersal.co.il/online/he/c/A070705
A2409 | Finger Food | depth4 | parent A07 מוצרי בשר, עוף ודגים | depth 4 | path A>A24>A16>A07>A2409 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > Finger Food | url https://www.shufersal.co.il/online/he/c/A2409
A1603 | מוצרי בשר, עוף ודגים קפואים | depth5 | parent A2409 Finger Food | depth 5 | path A>A24>A16>A07>A2409>A1603 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > Finger Food > מוצרי בשר, עוף ודגים קפואים | url https://www.shufersal.co.il/online/he/c/A1603
A0717 | מוצרים מוכנים לאכילה | depth6 | parent A1603 מוצרי בשר, עוף ודגים קפואים | depth 6 | path A>A24>A16>A07>A2409>A1603>A0717 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > Finger Food > מוצרי בשר, עוף ודגים קפואים > מוצרים מוכנים לאכילה | url https://www.shufersal.co.il/online/he/c/A0717
A160309 | שניצלונים מוכנים | depth7 | parent A0717 מוצרים מוכנים לאכילה | depth 7 | path A>A24>A16>A07>A2409>A1603>A0717>A160309 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > Finger Food > מוצרי בשר, עוף ודגים קפואים > מוצרים מוכנים לאכילה > שניצלונים מוכנים | url https://www.shufersal.co.il/online/he/c/A160309
A071704 | שניצלונים | leaf | parent A160309 שניצלונים מוכנים | depth 8 | path A>A24>A16>A07>A2409>A1603>A0717>A160309>A071704 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > Finger Food > מוצרי בשר, עוף ודגים קפואים > מוצרים מוכנים לאכילה > שניצלונים מוכנים > שניצלונים | url https://www.shufersal.co.il/online/he/c/A071704
A2402 | החברים באים להמבורגרים | depth4 | parent A07 מוצרי בשר, עוף ודגים | depth 4 | path A>A24>A16>A07>A2402 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > החברים באים להמבורגרים | url https://www.shufersal.co.il/online/he/c/A2402
